Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Djibouti,DJI,2018,25.11277573,,73.4253667,17020,,,,470,,250,,,1.46380442,44101798.33,,0.086281277,0.002085673,2000,,18,2104.7,106.36,25.46999931,23.11000061,27.02000046,,,123.49,0.243313201,56.4,23180,9,129.37,,,,,213101,22.223,0.978962186,,23200
Spain,ESP,2018,100,14.14541948,52.40820971,261833.239,,,,24660,,16700,1.041597298,1.090175697,2.761158273,39248742820,,23.78736818,0.253949194,11884251.9,,24362945,4067.8,118.14,4.199999809,2.170000076,5.889999866,114.592826,157.6985254,115.63,37.15664678,185635.9,499603.479,5989227,111.05,9.779979935,,,,9209330,19.679,-0.779238783,,505957.289
Finland,FIN,2018,100,,7.475651487,22720,,,,2210,,3720,7.859935268,2.196001946,2.384294126,6577065201,,7.383521979,0.406851569,2244000,,2733533,3012.8,79.27,3.710000038,2.069999933,5.230000019,60.36142458,91.61942959,92.81,73.73321927,224090,303920,907300,99.96,0.009871019,,,,806259,14.618,-0.256536015,,338450
Ireland,IRL,2014,100,,64.82798665,44660,,,,14640,,8770,0.671717841,0.616262837,1.244076436,3221033562,,6.752503992,0.09987247,465180,,2599817,8471.4,99.52,5.440000057,1.74000001,8.569999695,,1196.016531,96.02,10.8551604,7478.12,68890,306894,95.6,0.014515895,,,,1754105,37.66,0.20401561,,70280
Mongolia,MNG,2015,66.99647059,0.039766185,72.99021728,1136644.1,,,,13970,,12050,6.243371236,0.377221226,13.35614513,1569296383,,0.852853039,0.442934693,1328110,,216268,567.3,73.28,28.45000076,26.95000076,29.71999931,,17.46466784,111.15,9.104691498,141783.3,1557255.4,381209,114.63,0.003210777,,,,952602,31.77,1.753577229,,1564120
South Asia,SAS,2019,91.59657306,,,,,,,,,,1.135588593,2.083402221,16.80538517,5.97796E+11,,,,,,,,,41.83197658,56.96512788,37.4966089,,,,18.77162604,895548.1,4770754,,,,,,,1203683996,65.56810266,0.501379301,,
Singapore,SGP,2010,100,,1.054131054,7.4,,,,0,,20,0.286488673,0.341049215,0.036179572,86762009.53,,0.911680912,0.000126065,640,,,,86.89,0.109999999,0.050000001,0.150000006,,3765.453125,75.36,25.27119658,177.4038,702,,73.08,0.142450142,103.5980911,3.707443223,24.80864716,0,0,,4.666663574,712
Singapore,SGP,2020,,,,,,,,,,,,,0.032402756,110168877.3,,,,,,,,,,,,,,,21.96050776,155.7,709,,,,,,,0,0,,,
Small states,SST,2010,53.73578725,,32.53684168,813339.7,,,,24530,,19920,0.716628208,0.998295024,2.903596255,11929603513,,2.095775493,0.148753336,,,3213584,1643.704924,0.147122239,21.50557038,22.57570691,20.84928527,5.621026962,,0.157501771,40.58893089,1014621.8,2499750,1951903,0.161210366,0.582730846,1821834.322,1.492968695,29211.43096,15932331,45.21268681,0.548670554,3.838458189,2572957
Small states,SST,2018,67.04107093,,32.60671099,815601.77,,,,17210,,12790,0.449796149,0.983652648,2.567739567,14391857644,,2.107564084,0.129994535,,,3666736,1897.997904,,18.60719752,19.62694409,17.97984727,6.885978357,68.27062886,,39.81998784,996029.7,2501331,1931901,,0.584555052,,,,16748193,41.27738559,0.651783099,,2572961
Argentina,ARG,2013,94.33630488,,54.51804918,1491990,,,,80960,,40810,0.90649223,0.93607117,6.052918437,33413631490,,14.50621006,0.940669174,39699000,,50703913,4796.8,91.07,0.620000005,0.230000004,0.889999986,209.3599916,35.97135948,94.07,10.79544998,295438,2736690,10570463,100.09,0.365404923,,,,3693179,8.751,-0.332978803,,2780400
Belarus,BLR,2012,100,0.34106412,43.34926815,87960,,,,9260,,12410,1.258493526,1.473659306,8.131052249,5340890008,31.66520979,27.21403578,0.583443702,5522000,618,8843848,3479.1,107.21,10.31000042,7.239999771,13.43999958,25.91063647,271.386092,101.12,42.53807107,86314,202910,2541965,96.25,0.5913952,,,,2300156,24.303,-2.164389223,,207600
Jordan,JOR,2020,,,,,,,,,,,,,5.202224806,2273250471,,,,,,,,,,,,,,,1.09822032,975,88780,,,,,,,875633,8.582,-1.475190261,,
Lao PDR,LAO,2015,85.69092753,,10.80589255,24940,,,,7060,,2470,4.96324205,0.217458804,17.5877597,2530956412,,7.149046794,0.244764996,1650000,,5618250,4608.2,103.11,65.58000183,67.73999786,63.49000168,,,104.11,72.65164645,167680,230800,1219177,113.7,0.732235702,,,,4509297,66.892,0.591505283,,236800
North Macedonia,MKD,2015,100,,50.03965107,12620,,,,900,,450,0.511400005,0.934949974,9.726918494,979621621.6,,16.41554322,0.199102117,414000,,483885,3051.1,104.09,17.87000084,17.5,18.11000061,,66.53719807,102.86,39.42902458,9944,25220,158595,96.59,1.546391753,,,,885630,42.592,-0.215996813,,25710
New Caledonia,NCL,2015,100,,10.06728665,1840.3,,,,,,,0.357920353,0.936614168,,,,0.326586433,0.022218087,5970,,7088,4837.7,106.88,2.130000114,1.00999999,3.059999943,,257.6214405,110.04,45.87089716,8385.2,18280,1465,111.55,0.20404814,,,,82279,30.621,-1.209251322,,18580
Pacific island small states,PSS,2019,81.19973475,,,,,,,,,,2.801908059,,12.68193026,,,,,,,,,,31.33919491,28.63120825,33.16376977,,,,68.36615768,43877.4,64200,,,,,,,1520196,61.00601036,1.052606389,,
Post-demographic dividend,PST,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.10750079,10064890.9,31348558.26,,,,,,,204553160,18.3436591,-0.783734305,,
Turks and Caicos Islands,TCA,2016,100,,1.052631579,10,,,,,,,,,0.440892167,4552000,,1.052631579,0.027353794,1000,,,,,,,,,,,11.07368421,105.2,950,,,,,,,2736,7.483,-2.59754864,,950
Tunisia,TUN,2020,,,,,,,,,,,,,11.73947418,4606061684,,,,,,,,,,,,,,,4.523236354,7027.3,155360,,,,,,,3596642,30.432,0.027334785,,
Andorra,AND,2010,100,,42.06382979,197.7,,,,0,,0,1.636388526,0.38217772,,,,1.638297872,0.009117389,770,,,,,,,,,,,34.04255319,160,470,,,,,,,9443,11.181,0.829439038,,470
Brazil,BRA,2018,98.4109076,,28.34109036,2368788.01,,,,329920,,166170,5.254767776,1.149419831,4.420399304,84736712464,,6.671580041,0.266206049,55762000,,103064737,4805.8,109.1,9.260000229,4.139999866,13.06000042,590.1301028,304.6585157,107.66,59.70842795,4990514,8358140,21445930,106.5,0.927957656,,,,28133824,13.431,-1.133478593,,8515770
Germany,DEU,2018,100,,47.64153644,166450,,,,32610,,25690,0.748763236,1.304450328,0.6646685,26333048737,,33.57662144,0.141497972,11731000,,37955800,6219.9,83.6,1.25,0.850000024,1.600000024,45.06934669,166.4811184,93.17,32.68361097,114190,349380,6102278,99.59,0.5695804,,,,18809664,22.688,0.075989818,,357580
Finland,FIN,2012,100,,7.519497186,22851,,,,2310,,3680,6.130507171,2.327394132,2.314499321,5978463643,2.600587606,7.401033269,0.415425203,2249100,536,3661920,3533.6,93.19,4.159999847,2.319999933,5.889999866,42.61723646,86.23982927,94.58,73.41077364,223088,303890,1036300,95.32,0.013162658,,,,820704,15.159,-2.947939769,,338420
France,FRA,2015,100,,52.46376176,287269,,,,42980,,33560,0.954577496,1.184460595,1.605644387,39148948218,,33.74753679,0.277673626,18478700,,72875854,7570,103.62,2.710000038,1.610000014,3.730000019,449.9064906,170.4009481,102.23,30.74748382,168360,547557,9626902,100.2,1.801273657,,,,13539246,20.345,-0.919145181,,549087
Equatorial Guinea,GNQ,2010,,,9.732263815,2729.9,,,,10,,10,,,1.061371286,173156818,,4.278074866,0.12716714,120000,,,,90.52,37.18999863,43.06999969,33.61999893,,,89.92,90.26773619,25320.1,28050,,112.12,2.495543672,26800.91797,0.236483489,63.61024857,321404,34.06,0.018669836,0.356338109,28050
IDA only,IDX,2015,33.05344444,,38.64802277,7963571.699,,,,608890,,349490,3.230331409,2.096537563,21.76847812,2.26671E+11,,9.729737379,0.193981519,,,221466274,2050.681537,,55.88625848,61.20751564,52.13067531,510.6848758,26.25010531,,25.58653647,5272202.9,20616266.34,107996016,,1.268444756,,,,679960130,67.15301253,1.510239817,,21085010.08
"Korea, Rep.",KOR,2013,100,,18.15429146,17687,,,,9400,,4730,1.001142503,1.571300879,2.099047114,28773637079,,15.35319114,0.029661567,1495800,,5810451,6479.2,99.56,6.760000229,6.920000076,6.650000095,155.2697682,344.6958751,98.31,65.24952271,63570,97426,896782,97.02,2.208855952,,,,9188649,18.221,0.851157798,,100266
Liberia,LBR,2011,1.216253507,,18.08783223,17422.2,,,,220,,240,,,44.30050042,1062326000,,5.1910299,0.12445718,500000,,290117,1169.5,92.19,46.43999863,46.31000137,46.56000137,,,94.23,81.91216777,78897.8,96320,248070,93.34,2.128322259,,,,2081318,51.807,2.458040634,,111370
Middle East & North Africa,MEA,2015,92.33988285,,33.23164,3729702.271,,,,69730,,63900,0.245221497,1.126494703,5.349180203,1.68614E+11,,4.627106967,0.121956252,,,68260806,2547.964544,,17.13061002,21.96072131,16.02414476,17.78086142,74.03286997,,2.041487268,229123.2,11223347,26790228,,0.909772149,,,,151716462,35.62909915,0.840056072,,11385548.9
Mauritania,MRT,2018,,,38.47967401,396610,,,,6360,,3090,0.031754785,0.358490124,20.03641852,1412765461,,0.388085767,0.090840713,400000,,340110,1322.9,99.32,31.52000046,22.62999916,35.52999878,,,102.96,0.314058407,3237,1030700,257100,103.72,0.010672359,,,,2039966,46.328,0.966188236,,1030700
French Polynesia,PYF,2013,100,,12.43169399,455,,,,,,,3.113347864,1.015991096,,,,0.683060109,0.009247888,2500,,,,98.9,8.199999809,4.820000172,10.71000004,,242.496,96.21,40.83606557,1494.6,3660,,88.06,6.284153005,,,,103853,38.417,0.173472283,,4000
Vanuatu,VUT,2010,31.72940778,,15.34044299,1870,,,,320,,130,1.73113944,1.343889484,21.65517878,145244144.3,,1.640689089,0.08466827,20000,,823,563.6,96.34,63.83000183,66.16999817,62.02000046,,,97.86,36.28383921,4423,12190,1460,103.47,10.25430681,12210.13477,0.81482162,100.2877579,178433,75.538,2.328033475,0.801871017,12190
Arab World,ARB,2020,,,,,,,,,,,,,6.982083411,1.42694E+11,,,,,,,,,,,,,,,2.812928807,367980.7,13081763.72,,,,,,,176735820,40.52823439,1.244122866,,
Argentina,ARG,2016,100,,54.33571212,1487000,,,,82870,,43700,1.064504066,0.929774284,6.26456582,34926920031,,14.323873,0.899281236,39200000,,61147070,5203.8,101.69,0.129999995,0.029999999,0.189999998,259.5626663,41.28806122,100.73,10.60039683,290100,2736690,11750567,98.66,0.365404923,,,,3649822,8.373,-0.412892629,,2780400
Argentina,ARG,2017,100,,54.33571212,1487000,,,,84650,,45630,1.105946988,0.880017998,5.231622377,33672221280,73.92800424,14.323873,0.890002684,39200000,591,76396702,5404.9,106.74,0.059999999,0.02,0.090000004,236.7238229,42.30753163,105.56,10.55983688,288990,2736690,14134792,103.11,0.365404923,,,,3634137,8.251,-0.430673051,,2780400
Cote d'Ivoire,CIV,2016,36.7315388,,66.66666667,212000,,,,3680,,3500,7.602372678,0.592362487,19.74037037,9468317545,,11.00628931,0.146918535,3500000,,3159200,2230.3,101.55,42.75,34.59000015,48.36999893,,44.11828,100.75,10.34044025,32882.6,318000,1416480,104.29,14.1509434,,,,11939712,50.119,1.667985991,,322460
Cayman Islands,CYM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,127.2,240,,,,,,,0,0,,,
Algeria,DZA,2020,,,,,,,,,,,,,14.2277235,20653518625,,,,,,,,,,,,,,,0.81830896,19490,2381741,,,,,,,11518353,26.267,-0.213353123,,
Middle East & North Africa (excluding high income),MNA,2010,88.89859475,,22.71197091,1962605,,,,66400,,59940,0.508097224,2.077043877,8.226906261,1.14403E+11,,5.595027589,0.145286717,,,61966991,2235.870523,0.663592517,23.16840305,33.21328728,20.88845024,35.66984111,80.36318668,0.832012742,2.473140553,213711,8641280,27714749,1.06715028,1.057808566,8312627.181,0.607682088,51201.19595,136269349,40.94904526,0.905611269,3.632082662,8775420
Norway,NOR,2013,100,1.970332965,2.703590045,9871.428,,,,2460,,2560,0.5977048,1.247898118,1.31530621,6875914894,,2.212379906,0.159025719,807790.7,,966521,3374.2,78.95,2.210000038,0.930000007,3.359999895,16.33745833,190.8167549,95.62,33.2090866,121254,365122.96,286448,100.11,0.008115622,,,,1001397,19.714,-0.85919288,,625217.11
Qatar,QAT,2012,100,,5.729543497,665.2,,,,160,,110,0.002094866,0.520003217,0.094196462,175990549.5,38.64126708,1.161068045,0.006138215,13480,74,1908,6076.4,82.65,1.350000024,0.029999999,1.529999971,0.104996898,163.2047478,89.26,0,0,11610,314,93.99,0.261843239,,,,28615,1.303,0.539632678,,11610
Togo,TGO,2020,,,,,,,,,,,,,18.77665261,1422262946,,,,,,,,,,,,,,,22.23331495,12092.7,54390,,,,,,,4735438,57.2,1.440263829,,
Kosovo,XKX,2010,100,,,,,,,,,,,,13.60290777,793848601.4,,,,,,,,,,,,,,,,,10887,,,,,,,,,,,10887
Chad,TCD,2010,3.046523267,,39.10022236,492350,,,,29400,,16420,,,51.94562302,5541612430,,3.33545108,0.351401683,4200000,,3247583,762.8,112.25,77.15000153,76.56999969,77.62999725,,,88.25,4.391677255,55300,1259200,4257228,73.11,0.027795426,,,,9324457,78.015,3.269319988,,1284000
"Congo, Dem. Rep.",COD,2019,1,,,,,,,,,,,,19.96523389,10062626854,,,,,,,,,64.30000305,71.51000214,57.43000031,,,,56.13312896,1272566.1,2267050,,,,,,,47694889,54.954,2.126386426,,
Czech Republic,CZE,2012,100,0.473372781,54.70672019,42250,,,,2910,,3540,1.45660748,1.502090947,2.251185645,4701774997,2.346550788,40.87789719,0.300358156,3157000,677,6600024,4529.5,79.85,3.049999952,1.929999948,3.900000095,151.3751155,127.6651885,84.44,34.46567396,26617.84,77230,1457126,90.39,0.984073547,,,,2817206,26.803,0.095174991,,78870
Fragile and conflict affected situations,FCS,2013,30.95020654,,33.26454508,6635655.14,,,,444800,,270870,1.846426912,,14.09048288,2.64831E+11,,9.04126359,0.223969375,,,132189705,1436.748379,0.546858891,51.3852921,52.41841314,50.65093318,183.5703818,14.10153195,0.649144489,24.10479541,4808456.246,19959018.33,92006058,0.72933224,0.949139029,,,,476106801,60.25713324,1.832407465,,20238974.4
IDA blend,IDB,2014,42.42585896,,44.99409389,1965958.44,,,,220810,,121870,1.348754868,1.912282842,21.61330908,2.20034E+11,14.89,19.61793119,0.171043903,,,83348838,2147.042932,0.152273656,42.78086191,47.89097684,39.85716491,131.9628047,68.57925668,0.188092297,30.27673459,1322902.558,4369370,38820311,0.204365958,2.479991395,,,,298799685,59.62325784,1.575943588,,4459474
Kiribati,KIR,2011,65.65676515,,41.97530864,340,,,,10,,0,5.194863652,0.817956052,25.07393721,45560598.25,,2.469135802,0.019095813,2000,,,,97.22,,,,,,97.21,1.456790123,11.8,810,,97.18,39.50617284,,,,54216,51.765,0.119962734,,810
Lebanon,LBN,2010,99.25957995,,62.56109482,6400,,,,180,,430,0.592537196,1.094814628,3.861959367,1484688069,,11.14369501,0.023016056,114000,,111785,2624.9,105.74,14.44999981,13.64000034,14.68000031,22.18525217,223.7985965,101.1,13.42619746,1373.5,10230,42586,87.26,12.31671554,8081.997559,0.334099798,34.7444458,627355,12.666,1.714123741,1.902982268,10450
Libya,LBY,2014,,,8.723871012,153500,,,,1590,,1290,,,,,,0.977528218,0.270353577,1720000,,304294,667.6,99.88,19.21999931,18.98999977,19.32999992,39.14332671,22.91705233,98.22,0.123327688,2170,1759540,455792,95.16,0.187549018,,,,1335456,20.991,-0.540598169,,1759540
Luxembourg,LUX,2016,100,,53.76584362,1306.51,,,,440,,220,1.967437709,2.033465098,0.214049431,129909774.9,,25.45679012,0.106286103,61860,,139262,4999.6,85.77,1.029999971,0.610000014,1.370000005,,262.1079858,101.23,36.50205761,887,2430,27855,105.67,0.633744856,,,,55524,9.54,-0.74822042,,2590
Nigeria,NGA,2010,23.5367304,,74.46119218,678170.2,,,,35890,,24850,1.631811018,0.784061927,23.89370409,86365375731,,36.23307751,0.208197685,33000000,,24650297,1528,85.43,41.36000061,33.16999817,48.31000137,1086.449404,12.21366667,86.85,25.53880782,232599.8,910770,16132376,99.23,7.356412706,880103.3125,0.407443265,3655.986572,89586010,56.52,1.105564143,0.697877177,923770
Nicaragua,NIC,2017,67.06816744,,42.08908094,50650,,,,7710,,3180,0.784412267,1.105447492,14.99665684,2067425601,76.71889162,12.49792255,0.235557867,1504000,2280,909045,2104.1,114.99,29.92000008,8.5,43.54000092,,85.41695479,111.77,30.80879176,37075.3,120340,432035,110.52,2.376599634,,,,2662543,41.701,0.774774605,,130370
Bolivia,BOL,2010,67.66276441,,34.63121942,375160,,,,18330,,9190,1.069284458,0.692193981,10.3899057,2041578164,,3.966583587,0.427621886,4297000,,2133671,2267.3,75.23,30,30.61000061,29.54000092,,7.255527112,78.54,49.00397858,530860.1,1083300,941043,84.31,0.202160066,,,,3373314,33.57,0.323766518,,1098580
Estonia,EST,2014,100,,22.40625719,9740,,,,690,,1220,5.506106214,2.321085206,3.14360909,841653350.6,,15.04485852,0.497510545,654000,,1221600,3669.6,95.87,3.859999895,2.24000001,5.389999866,23082.29942,85.34097859,97.32,55.30278353,24040.12,43470,332900,98.52,0.069013112,,,,417118,31.731,-0.724501508,,45340
Kyrgyz Republic,KGZ,2012,99.8,9.439823251,55.22054223,105913,,,,3100,,1570,3.060031303,1.450449007,16.65419638,1100032976,92.68929504,6.655891554,0.227671565,1276600,533,1357041,2367.1,86.6,30.09000015,29.59000015,30.44000053,,24.31615228,87.68,6.457413973,12385.32,191800,573287,89.68,0.389989572,,,,3620962,64.577,1.555352288,,199949
Lao PDR,LAO,2013,71.03914941,12.1627409,10.1169844,23350,,,,6730,,2370,4.887313154,0.336694789,17.93049843,2141301454,,6.451473137,0.227630524,1489000,,4628645,4195.6,77.75,67.76999664,70.01000214,65.56999969,,,78.62,72.95060659,168370,230800,1103220,87.61,0.732235702,,,,4456458,68.128,0.602016095,,236800
Nauru,NRU,2013,,,20,4,,,,0,,0,,,3.7190625,3662973.223,,,,,,,,98.08,,,,,,98.15,0,0,20,,98.49,20,,,,0,0,,,20
East Asia & Pacific (IDA & IBRD countries),TEA,2016,95.23792605,,49.11509366,7809046.9,,,,701910,,538730,1.254970976,3.016571685,8.910809771,1.18744E+12,,12.16949226,0.095420053,,,872580940,5379.860192,,29.59587793,26.52427659,31.96664159,99.80778678,361.763685,,30.13193069,4790821.77,15899484.9,162193863,,4.091956463,,,,941218692,46.41639435,-1.403185405,,16189695.5
Tonga,TON,2011,90.5992255,,44.44444444,320,,,,60,,20,22.21148789,1.450301776,17.04949501,70674144.42,,23.61111111,0.164159215,17000,,,,98.5,24.45000076,2.339999914,38.18999863,,7.174117647,98.08,12.43055556,89.5,720,,95.33,15.27777778,,,,79281,76.557,-0.478162756,,750
Albania,ALB,2017,100,14.62562255,42.67083942,11691.81,,,,2050,,1080,0.489922364,0.904116519,19.02214284,2476624685,63.74137202,22.14963504,0.211209007,606900,1485,701734,4813,105.92,38.08000183,42.38999939,34.95999908,,100.6473225,104.13,28.79206204,7889.025,27400,145799,101.39,3.072992701,,,,1167112,40.617,-2.432825322,,28750
Arab World,ARB,2016,78.46075925,,36.56196636,4782952.054,,,,122500,,85240,0.160013252,0.916310222,5.459954195,1.4267E+11,,4.446968488,0.143980297,,,49698144,1705.274933,,20.77442161,28.42003213,18.95942498,15.80159781,53.93118282,,2.887458066,377730.6,13081769.2,29143572,,0.660821002,,,,168301536,41.65437302,1.260031511,,13142335.82
European Union,EUU,2014,100,,41.40659495,1654717.51,,,,217510,,175300,1.538252875,1.553853963,1.724363311,2.66272E+11,,25.07065847,0.225866272,,,309118260,5608.167442,0.148751336,5.28778753,4.134317057,6.254803937,88.87838133,151.9409853,0.159087383,39.51893313,1579281.53,3996265.6,55119399,0.13796505,2.97569586,,,,116581493,26.28215142,-0.4258266,,4172036.6
Fragile and conflict affected situations,FCS,2020,,,,,,,,,,,,,,2.8256E+11,,,,,,,,,,,,,,,23.20118724,4628111.4,19947735.23,,,,,,,532400192,57.35642253,1.549618195,,
"Micronesia, Fed. Sts.",FSM,2011,61.17533264,,31.42857143,220,,,,40,,20,0.459605854,1.048898772,26.36571736,82076900,,2.857142857,0.019333385,2000,,234,1528.1,79.64,,,,,,82.62,91.65428571,641.58,700,153,91.7,24.28571429,,,,80374,77.695,0.506418615,,700
IDA blend,IDB,2017,43.47885441,,45.13065972,1978779.5,,,,238200,,130330,2.161699553,2.034635661,22.25202799,2.05956E+11,90.81005431,19.73275749,0.161154631,,,92694141,2214.021346,,41.07592568,45.77015963,38.52198177,126.7064905,80.08119985,,29.96980904,1314043.36,4384557,41866289,,2.471766247,,,,312686018,58.24219716,1.49701878,,4459474
Indonesia,IDN,2011,90.20112846,,31.18841668,565000,,,,97180,,75520,7.507576322,3.203977444,13.51228707,1.20661E+11,,12.97217331,0.095872979,23500000,,83400154,4886.3,91.7,37.18999863,36.79000092,37.43999863,113.830429,198.4185957,90.34,54.50131102,987329.4,1811570,17068335,86.09,12.14416225,,,,121099554,49.405,-0.02108456,,1910930
Late-demographic dividend,LTE,2020,,,,,,,,,,,,,6.398057635,1.52374E+12,,,,,,,,,,,,,,,39.50049662,17600849.8,44558553.2,,,,,,,828305627,35.89020964,-1.825261628,,
Philippines,PHL,2017,90.02316667,,41.72116578,124400,,,,50680,,11470,0.898913848,0.525904735,10.18295413,33449056032,73.28380899,18.74769427,0.053150563,5590000,2348,27191836,3692.3,103.59,25.44000053,15.32999992,31.68000031,655.6439664,212.5987138,104.24,23.75802395,70839.3,298170,7364505,105.2,17.94278432,,,,56076098,53.318,1.057793321,,300000
Russian Federation,RUS,2020,,,,,,,,,,,,,3.70019612,54892327478,,,,,,,,,,,,,,,49.78433608,8153116,16376870,,,,,,,36380516,25.246,-0.868789283,,
Serbia,SRB,2020,,,,,,,,,,,,,6.496327602,3440463808,,,,,,,,,,,,,,,31.13023096,27226.5,87460,,,,,,,3008808,43.554,-0.960472461,,
Upper middle income,UMC,2014,98.58938484,,35.46725557,18999005.58,,,,1143890,,811660,1.217154123,2.233350195,6.484639355,1.43425E+12,14.89,9.118818834,0.20231819,,,1048794550,4217.445644,0.180352742,24.18919479,20.84197969,26.73397666,88.06134249,184.51981,0.199441823,37.48442147,20079555.67,53578622.3,248679745,0.184350669,1.044264979,,,,903632672,37.42684793,-1.562674817,,54909084.3
Switzerland,CHE,2018,100,,38.21425381,15100.756,,,,3880,,1660,0.157442568,0.554717573,0.630085203,4636728989,,10.07537701,0.046761042,398138.9,,882055,6203.7,99.14,3.029999971,2.559999943,3.440000057,,187.792803,99.57,31.94222699,12622.3,39516.03,142182,99.68,0.638259967,,,,2231010,26.203,0.599369518,,41290.39
Comoros,COM,2019,78.24008698,,,,,,,,,,0.004179567,0.936419889,33.07157522,385561619.4,,,,,,,,,34.38000107,31.56999969,36.34999847,,,,17.92584632,333.6,1861,,,,,,,602737,70.836,1.925892267,,
Caribbean small states,CSS,2019,96.921316,,,,,,,,,,,,4.114914075,3387465013,,,,,,,,,10.72810417,5.313293792,14.83986309,,,,89.8928245,363931.1,404850,,,,,,,3599298,48.63002054,0.225300296,,
Djibouti,DJI,2017,26.29509433,,73.4253667,17020,,,,470,,250,,,1.372494547,37763652.94,15.78947368,0.086281277,0.00211842,2000,220,18,2077.5,104.3,26.45000076,24.11000061,27.96999931,,,121.84,0.242018982,56.1,23180,9,127.85,,,,,211025,22.352,1.064285824,,23200
Faroe Islands,FRO,2010,100,,2.148997135,30,,,,,,,,,14.70157774,341139026.7,,2.148997135,0.062757568,3000,,,,91.39,,,,,,93.46,0.05730659,0.8,1396,,93.72,,1379.931396,6.696370626,114.8700256,28239,59.074,-0.353494659,4.470856533,1396
